content_id,genre_id
525,14
525,10749
526,35
526,10749
527,10402
527,18
527,10749
528,35
528,10749
529,28
529,18
529,80
530,36
530,18
531,35
531,80
531,28
531,9648
532,16
533,35
533,18
534,35
534,10749
535,28
535,80
535,53
536,10749
536,35
537,35
537,18
537,10749
538,28
538,35
539,18
539,35
539,10751
540,10749
540,35
541,18
542,35
542,80
543,18
544,18
545,53
545,28
546,80
546,12
546,53
546,28
547,80
547,18
548,53
548,28
549,28
549,14
550,28
550,80
550,18
551,28
551,80
552,18
552,35
552,53
553,27
553,53
554,10749
554,18
555,18
555,53
556,35
556,18
556,53
557,27
557,18
557,9648
558,28
558,80
558,53
559,35
559,18
560,18
561,16
561,10751
561,14
561,12
561,878
562,28
562,18
562,10749
563,18
563,9648
563,27
564,35
564,18
565,53
565,80
565,18
566,28
566,35
567,28
567,80
567,53
568,18
568,35
569,18
570,28
570,12
570,36
571,28
571,18
572,53
572,9648
573,18
574,18
574,35
574,10402
575,35
576,18
576,9648
577,18
577,35
578,35
578,18
579,27
579,53
580,18
580,10749
581,36
581,18
582,18
582,35
583,80
583,18
583,35
584,18
584,80
585,18
585,80
586,80
586,35
586,28
587,53
587,80
587,28
588,16
588,18
588,10751
589,9648
589,53
590,35
590,10749
591,18
591,14
592,18
593,18
593,10749
594,35
594,18
595,18
596,35
596,80
597,35
597,10749
597,18
598,18
599,35
599,80
599,28
600,16
601,28
601,35
601,80
602,18
603,80
604,18
604,36
604,28
605,16
605,28
605,878
606,18
607,35
607,18
608,80
608,35
608,28
609,18
609,10749
610,28
610,53
611,28
611,53
611,80
612,35
612,9648
612,18
613,18
613,53
614,18
615,18
616,16
616,10751
616,12
616,14
617,80
617,28
617,18
617,9648
618,28
618,35
618,80
619,53
619,35
620,28
620,80
620,18
621,18
622,28
622,18
623,18
624,18
624,80
625,28
625,80
626,18
627,18
627,10749
627,35
628,18
628,28
629,9648
629,53
629,28
630,35
631,35
631,80
631,28
631,10749
632,18
633,35
634,9648
634,53
635,18
635,28
636,18
636,14
636,35
637,16
637,10751
637,12
637,14
638,18
638,53
639,28
639,35
640,9648
640,80
640,53
641,16
642,10749
642,18
643,18
643,14
643,9648
644,9648
644,18
644,53
645,878
645,10749
646,53
646,9648
647,35
647,18
647,10749
648,28
649,18
649,10749
649,36
650,35
650,10749
651,18
652,16
653,35
653,18
654,35
654,28
655,35
656,35
657,18
658,28
658,35
659,10751
659,18
660,35
661,53
661,18
662,53
662,9648
662,28
663,28
664,35
664,18
665,18
665,10749
666,16
666,12
666,10751
666,14
666,878
667,10749
668,53
668,80
669,53
669,18
670,14
670,18
670,35
671,35
671,10749
672,18
673,35
673,18
673,28
673,80
674,80
674,35
675,18
675,10749
676,16
676,10751
676,12
676,10402
676,878
677,18
678,28
678,35
678,80
678,53
679,35
680,18
680,35
681,35
681,28
681,80
682,16
682,10749
682,18
683,53
683,18
684,27
684,53
684,9648
685,18
686,28
686,35
687,99
687,16
688,35
688,28
689,35
689,10749
690,53
691,80
691,35
691,18
692,16
692,10751
693,28
693,80
694,35
694,10402
695,53
695,35
695,80
696,27
697,18
697,80
698,10402
698,35
699,80
699,28
700,35
701,10749
701,18
702,18
702,10749
702,35
703,28
703,80
703,53
704,18
705,35
706,28
706,80
707,9648
707,53
708,18
708,10749
709,16
709,10751
709,12
709,14
709,878
710,18
711,28
711,80
711,18
712,16
712,10751
712,10402
713,35
713,80
714,28
714,35
715,35
715,18
715,10749
716,12
716,14
716,35
716,9648
717,35
717,28
717,80
718,35
718,28
719,18
719,80
720,18
721,18
722,80
722,53
723,35
723,18
724,18
725,16
726,18
727,16
727,10751
727,14
727,35
727,12
728,99
729,18
729,35
730,16
730,12
730,10751
730,878
731,18
732,28
732,80
733,27
734,80
734,18
734,9648
735,16
735,18
735,53
736,18
737,10752
737,10749
737,18
738,18
738,10749
739,27
740,18
741,18
741,28
742,16
742,12
742,10751
743,18
744,10749
744,18
745,18
745,35
746,36
746,18
747,18
747,10749
748,18
748,35
749,16
750,18
751,10749
751,14
752,28
752,80
753,18
754,28
754,12
754,35
754,37
755,35
756,35
757,18
757,36
758,36
758,10752
758,35
759,35
759,10751
759,18
760,18
760,878
760,10749
761,80
761,28
762,12
762,18
763,18
763,35
764,18
764,35
765,53
766,18
766,10749
767,53
767,35
767,80
767,18
768,18
768,80
768,35
769,18
770,53
770,80
770,18
771,28
771,35
771,80
771,18
772,18
772,10749
773,35
773,18
774,80
774,18
775,28
775,35
775,53
776,10749
776,18
777,53
777,9648
777,80
778,35
778,10749
779,9648
780,18
781,35
781,27
781,9648
781,53
782,18
783,35
784,18
785,18
785,10751
786,53
786,80
787,18
788,18
789,99
790,16
790,27
790,14
790,12
791,18
791,35
792,99
793,18
794,27
794,35
795,10749
796,28
796,53
796,80
797,10749
797,35
798,80
798,53
799,53
799,9648
799,27
800,99
801,16
802,35
802,18
803,10749
803,18
804,99
805,35
806,18
807,35
808,16
808,12
808,10751
808,14
809,18
810,99
811,99
812,99
813,35
814,35
815,99
816,36
816,99
817,18
818,99
819,18
820,35
820,878
820,14
821,99
822,35
822,18
822,28
823,35
823,18
824,53
824,80
825,18
826,18
827,28
828,10749
828,18
829,28
829,18
830,10751
830,14
832,35
833,28
833,18
834,35
834,18
835,16
835,10770
836,16
836,12
836,878
836,10751
837,18
838,99
838,10402
839,16
839,18
839,10749
840,16
840,10751
840,10402
841,16
842,18
843,16
843,12
843,28
843,53
843,14
844,18
845,99
845,10402
846,16
847,99
847,12
848,16
849,18
849,10749
849,10751
850,10749
851,53
852,18
852,10751
853,99
854,16
