title,content_type,genre_ids,release_date,vote_average,vote_count,popularity,tmdb_id
사이버 지옥: n번방을 무너뜨려라,영화,"[80, 18]",2022-05-17,7.207,104,2.4881,965143
헬로우 고스트,영화,"[35, 18, 10749, 10751]",2010-12-23,7.569,123,2.2561,62439
강릉,영화,"[28, 80, 18]",2021-11-10,6.1,22,2.7011,752886
침입자,영화,"[9648, 53]",2020-06-04,6.7,92,2.3036,602291
제인의 썸머,영화,"[10749, 18]",2020-06-18,4.944,9,2.4657,717915
세계의 주인,영화,[18],2025-10-22,7.819,36,2.4114,1317512
하트맨,영화,"[10749, 35, 10402]",2026-01-14,5.6,5,2.1758,863149
나의 PS 파트너,영화,"[10749, 35]",2012-12-06,6.793,104,2.5294,171587
초록물고기,영화,[18],1997-02-07,6.915,82,2.3001,95482
변호인,영화,"[36, 18]",2013-12-18,7.8,229,2.1439,242452
써니,영화,"[18, 35]",2011-05-04,7.797,195,2.352,77117
오감도,영화,"[10749, 18]",2009-07-09,5.04,25,2.4719,54225
더 킹,영화,"[80, 28]",2017-01-18,7.309,89,2.4989,434724
사라진 밤,영화,"[53, 80, 9648]",2018-03-07,7.429,119,2.3995,509467
클레어의 카메라,영화,[18],2018-03-07,6.2,77,5.1498,432507
그녀가 죽었다,영화,"[53, 9648]",2024-05-15,7,56,2.3955,743815
해무,영화,"[53, 18]",2014-08-13,6.858,180,2.4169,272691
강철비 2: 정상회담,영화,"[28, 53, 10752]",2020-07-29,7.029,70,2.5271,606906
연평해전,영화,"[10752, 36]",2015-06-24,6.6,53,2.1378,343843
여교수의 은밀한 매력,영화,"[35, 10749]",2006-03-16,4.111,18,2.7215,107540
태양의 노래,영화,"[10402, 18, 10749]",2025-05-16,6.615,13,2.4745,1000520
검사외전,영화,"[80, 35, 28]",2016-02-03,6.984,123,2.2525,378348
염력,영화,"[14, 28, 35]",2018-01-31,6.273,343,2.5606,452015
스윙키즈,영화,"[18, 10752]",2018-12-19,8.034,89,1.8248,554779
왕의 남자,영화,"[18, 36, 53]",2005-12-29,6.983,120,2.0799,45035
오아시스,영화,"[18, 10749]",2002-08-09,7.736,286,2.1201,26955
비밀은 없다,영화,"[53, 18]",2016-06-23,6.825,63,2.2741,401133
가려진 시간,영화,"[14, 18]",2016-11-10,7.195,187,2.2776,382217
동감,영화,"[10749, 18]",2022-11-16,6.8,62,2.1766,962489
PMC: 더 벙커,영화,"[28, 53]",2018-12-26,6.906,127,2.4203,557972
궁합,영화,[10749],2020-04-17,2,1,2.5857,694939
올빼미,영화,"[53, 9648, 36]",2022-11-23,7.336,67,2.3548,806128
신의 한 수: 귀수편,영화,"[80, 28]",2019-11-07,7,34,2.352,580626
어른들은 몰라요,영화,[18],2021-04-15,6.843,35,2.3584,671040
백남준: 달은 가장 오래된 TV,영화,[99],2023-03-24,6.8,10,2.044,916738
오늘의 연애,영화,"[35, 10749]",2015-01-14,6.7,49,2.1123,313628
사도,영화,"[18, 36]",2015-09-16,7.073,103,2.6436,315439
증인,영화,[18],2019-02-13,7.765,85,2.3903,570508
R2B: 리턴 투 베이스,영화,"[28, 18, 10749]",2012-08-15,6.628,148,2.3761,124294
백만장자의 첫사랑,영화,"[18, 10749]",2006-02-09,7.278,88,2.3838,40211
여고괴담 세 번째 이야기: 여우계단,영화,[27],2003-08-01,6.186,110,2.6105,32237
내가 살인범이다,영화,"[28, 53]",2012-11-08,7.111,334,2.0548,140212
몽타주,영화,"[53, 18, 80, 9648]",2013-05-16,7.272,208,2.7019,195276
킬링 로맨스,영화,"[53, 35]",2023-04-14,6.4,21,2.2483,746349
도그데이즈,영화,"[18, 35]",2024-02-07,7.6,15,2.1016,876127
친구,영화,"[28, 18, 80]",2001-03-31,6.898,103,2.2112,19635
말죽거리 잔혹사,영화,"[10749, 18, 28]",2004-01-15,7.311,95,2.0209,49214
비와 당신의 이야기,영화,"[10749, 18]",2021-04-28,5.9,22,2.3017,656159
가장 보통의 연애,영화,"[10749, 35]",2019-10-02,6.8,43,2.1746,579188
윤희에게,영화,"[10749, 18]",2019-11-14,7.1,65,2.2559,578209
보호자,영화,"[28, 53, 18]",2023-08-15,6.6,116,2.4146,656156
새해전야,영화,"[18, 10749]",2021-02-10,6.5,33,2.4324,622024
오싹한 연애,영화,"[27, 35, 14, 10749]",2011-12-01,7.5,212,2.3983,92499
꾼,영화,"[80, 28, 53]",2017-11-22,6.7,105,2.5956,478187
그날의 분위기,영화,"[10749, 35]",2016-01-14,7.2,52,2.287,376252
더 테러 라이브,영화,"[80, 18, 53]",2013-07-31,7.188,284,2.0292,209764
파란,영화,"[18, 9648, 53, 80]",2025-04-09,6.2,4,1.8797,1106525
B컷,영화,"[28, 80, 53]",2022-03-30,5,13,2.1989,930750
부당거래,영화,"[80, 53]",2010-10-28,6.6,120,2.1218,61062
오! 수정,영화,"[10749, 18]",2000-05-27,6.432,59,1.7176,54690
웰컴 투 동막골,영화,"[35, 18, 10752]",2005-08-04,7.439,204,2.0465,14968
싱글 인 서울,영화,"[10749, 35]",2023-11-29,6.2,17,1.9919,717088
더 폰,영화,"[53, 28, 9648]",2015-10-22,6.9,52,2.2794,367882
다음 소희,영화,"[18, 53]",2022-11-21,7.25,142,2.1183,923344
밀애,영화,"[18, 53]",2002-11-07,5.029,17,2.2786,5252
